id_venda,id_produto,id_cliente,data_venda,quantidade,preco_unitario
1,23,171,2024-01-22,1,520.75
2,15,24,2025-02-24,5,522.44
3,5,65,2024-04-14,1,354.54
4,23,185,2024-09-10,4,488.67
5,7,72,2023-11-22,4,55.22
6,18,191,2025-03-19,5,326.12
7,26,44,2025-03-18,5,520.38
8,45,11,2024-04-07,3,504.28
9,15,10,2024-12-18,5,685.86
10,47,124,2025-07-26,4,160.39
11,35,153,2025-05-04,5,728.54
12,43,185,2023-10-06,3,178.55
13,39,90,2025-08-18,1,511.24
14,43,119,2023-11-29,2,248.81
15,14,17,2023-09-25,5,669.26
16,44,179,2023-12-17,5,354.92
17,45,30,2024-01-08,1,413.42
18,8,29,2024-03-31,4,440.69
19,19,199,2023-10-07,1,392.34
20,32,46,2024-03-04,5,512.59
21,17,7,2024-03-20,4,303.79
22,50,186,2024-09-16,1,139.31
23,37,128,2024-08-07,1,112.28
24,41,116,2024-03-27,5,117.01
25,39,5,2024-05-08,5,551.13
26,29,192,2023-09-05,4,672.29
27,50,116,2024-03-14,3,116.55
28,7,142,2024-03-18,3,63.62
29,43,60,2024-12-09,1,217.81
30,6,112,2025-02-17,4,157.32
31,25,83,2024-08-26,3,351.58
32,27,1,2023-09-26,1,643.44
33,45,166,2024-06-09,4,473.25
34,18,168,2025-02-08,4,280.59
35,50,31,2024-08-25,1,122.28
36,39,179,2025-07-23,3,550.73
37,1,50,2024-07-01,5,402.92
38,9,77,2024-06-17,2,613.17
39,26,172,2024-01-23,1,549.34
40,23,8,2024-04-08,5,400.44
41,29,72,2024-12-22,3,616.75
42,7,54,2025-02-25,5,64.06
43,47,137,2024-12-18,5,176.44
44,27,7,2024-11-28,3,838.65
45,3,181,2024-01-13,5,252.75
46,37,190,2023-09-08,3,121.44
47,48,78,2023-11-03,1,146.63
48,10,155,2024-09-19,3,575.82
49,17,46,2024-10-20,4,394.57
50,3,13,2024-03-17,2,193.21
51,21,15,2023-12-25,5,341.09
52,34,5,2025-08-30,5,43.81
53,5,60,2024-11-09,1,318.14
54,9,190,2025-06-21,1,605.47
55,31,66,2023-10-02,3,845.75
56,8,33,2024-08-17,2,374.28
57,25,197,2023-10-27,3,352.86
58,44,105,2023-11-16,5,306.17
59,45,17,2023-09-07,1,506.48
60,46,41,2024-01-27,4,189.04
61,1,28,2024-08-02,1,419.05
62,50,21,2024-08-24,2,126.06
63,31,61,2024-05-29,4,826.07
64,21,15,2024-11-22,1,367.52
65,19,151,2024-04-28,1,379.38
66,37,14,2024-06-15,1,109.72
67,50,39,2025-02-13,4,111.04
68,3,179,2024-08-22,2,240.99
69,49,129,2025-01-28,4,29.66
70,23,111,2025-01-01,2,370.04
71,31,160,2024-10-20,5,824.8
72,12,2,2025-02-27,5,37.58
73,31,38,2024-02-20,3,753.76
74,10,180,2024-01-10,3,533.21
75,35,21,2024-02-06,1,585.52
76,22,171,2024-01-10,5,453.75
77,28,73,2024-04-23,4,360.29
78,43,122,2023-11-25,1,194.95
79,8,170,2024-07-15,1,378.51
80,22,147,2023-11-14,3,523.44
81,13,62,2025-07-03,1,425.3
82,30,1,2024-05-25,4,495.38
83,9,135,2024-09-04,3,457.19
84,13,67,2024-05-03,3,539.19
85,36,95,2024-04-24,1,491.44
86,28,163,2023-11-24,2,349.55
87,46,88,2024-12-05,3,214.1
88,20,137,2023-11-23,3,573.08
89,29,110,2025-04-24,5,713.01
90,29,88,2024-06-15,1,685.75
91,28,98,2023-11-25,5,393.29
92,13,84,2024-09-10,3,537.48
93,50,16,2024-07-17,2,124.32
94,33,137,2025-03-12,1,628.93
95,20,171,2024-03-21,5,612.41
96,29,172,2023-10-10,2,687.06
97,50,117,2025-06-19,2,149.1
98,9,94,2024-12-27,3,492.04
99,46,189,2023-11-02,2,225.06
100,50,46,2025-08-31,2,116.59
101,29,102,2025-05-25,3,669.41
102,22,61,2025-04-19,3,573.04
103,28,3,2024-11-25,3,348.2
104,43,142,2023-12-18,2,201.88
105,41,100,2024-11-15,5,92.38
106,12,59,2024-12-24,3,33.38
107,30,7,2024-10-14,1,427.33
108,15,109,2024-08-19,4,543.36
109,39,55,2023-10-02,5,493.27
110,47,33,2024-07-23,4,157.02
111,38,101,2023-11-30,1,319.07
112,39,124,2025-07-07,3,539.32
113,24,105,2024-06-26,4,432.19
114,17,92,2024-12-17,5,384.82
115,19,60,2024-07-16,2,424.77
116,4,158,2025-02-28,4,91.21
117,12,195,2024-05-18,1,29.46
118,44,49,2025-07-02,1,315.37
119,18,45,2024-07-18,3,370.67
120,16,54,2024-05-27,3,518.12
121,27,92,2024-07-11,3,819.24
122,16,41,2025-08-11,1,563.48
123,33,158,2024-02-14,5,697.64
124,37,143,2024-09-11,2,142.98
125,15,49,2024-07-31,4,500.35
126,5,23,2023-11-18,4,426.14
127,31,108,2023-09-26,2,752.87
128,39,197,2023-11-01,1,587.56
129,46,187,2024-12-31,5,191.01
130,26,122,2025-05-30,4,529.84
131,34,117,2024-08-29,4,40.89
132,46,56,2024-01-20,5,194.59
133,29,93,2024-09-28,1,858.93
134,7,1,2023-09-19,1,57.9
135,16,145,2025-02-03,3,585.73
136,36,34,2025-07-31,3,604.24
137,15,137,2024-09-25,5,666.48
138,20,84,2024-01-28,5,639.15
139,21,5,2024-08-06,4,344.54
140,26,175,2025-07-13,2,660.95
141,2,48,2024-05-17,5,282.06
142,16,66,2025-03-11,4,605.78
143,29,89,2023-10-30,5,756.26
144,7,142,2025-05-06,4,69.29
145,40,195,2024-07-21,4,185.14
146,13,62,2023-10-27,3,427.55
147,25,142,2024-04-19,3,305.84
148,38,68,2024-01-10,2,305.15
149,35,35,2023-10-19,4,682.61
150,31,163,2024-12-26,5,747.36
151,21,15,2023-10-28,3,381.09
152,26,134,2024-12-19,3,698.93
153,38,149,2024-02-18,5,407.42
154,48,192,2025-01-25,4,120.17
155,29,175,2023-10-12,4,776.09
156,18,175,2025-07-31,1,336.59
157,46,185,2024-02-13,4,217.17
158,7,90,2025-03-21,1,52.52
159,34,21,2025-07-07,5,39.3
160,43,190,2024-12-06,1,190.43
161,37,102,2023-09-14,2,119.16
162,47,193,2023-09-29,5,177.09
163,16,13,2024-05-07,5,579.54
164,13,185,2024-06-24,2,532.75
165,35,27,2024-05-29,1,549.62
166,35,48,2023-10-28,2,645.58
167,9,72,2023-10-19,4,587.54
168,16,156,2023-09-30,4,624.51
169,41,59,2024-07-21,1,95.17
170,4,188,2023-11-29,5,80.96
171,9,38,2024-03-24,5,614.59
172,30,152,2024-11-04,2,596.07
173,9,102,2024-02-14,4,580.54
174,22,125,2024-03-03,5,422.19
175,35,192,2024-04-23,5,684.88
176,45,112,2024-06-07,2,527.82
177,47,7,2023-09-13,3,168.23
178,43,69,2024-06-28,4,216.61
179,50,66,2025-05-14,1,145.82
180,31,63,2025-03-20,1,593.6
181,1,21,2025-08-20,5,358.18
182,16,68,2023-09-05,2,627.51
183,43,169,2024-08-19,5,204.11
184,10,43,2024-09-02,4,563.58
185,26,54,2023-09-12,5,561.66
186,40,107,2024-05-15,4,192.41
187,6,17,2024-10-26,3,187.43
188,48,3,2024-06-09,5,156.85
189,45,181,2024-12-10,3,523.03
190,1,177,2025-07-05,3,443.51
191,5,149,2025-03-07,1,338.9
192,3,129,2024-11-29,5,179.37
193,33,40,2025-03-22,5,775.44
194,23,65,2024-02-24,5,525.21
195,6,4,2025-08-21,2,215.39
196,37,193,2023-10-18,3,115.23
197,9,167,2023-09-16,5,625.84
198,48,196,2023-11-24,1,135.63
199,40,106,2025-06-05,4,250.55
200,31,88,2024-11-12,4,768.67
201,9,10,2023-12-28,1,625.7
202,10,179,2025-06-05,3,652.19
203,28,118,2023-11-18,3,355.58
204,40,95,2025-02-08,4,205.99
205,1,198,2025-01-09,5,488.07
206,40,136,2025-02-11,2,186.91
207,29,65,2023-11-25,1,877.87
208,46,137,2025-08-02,2,226.17
209,18,55,2024-08-24,3,267.88
210,15,95,2024-10-17,4,478.69
211,32,183,2025-07-11,1,527.92
212,32,121,2024-11-22,5,394.47
213,5,18,2023-11-03,2,448.92
214,20,111,2024-06-26,1,653.41
215,45,104,2025-04-01,2,428.45
216,23,85,2024-05-18,1,476.48
217,26,32,2025-06-28,3,537.91
218,12,3,2025-05-27,2,34.72
219,46,119,2023-09-14,4,227.87
220,20,93,2023-09-20,1,575.32
221,47,191,2024-05-01,3,230.94
222,21,142,2024-03-15,1,300.69
223,38,200,2024-05-16,3,361.89
224,13,33,2025-01-08,4,434.19
225,39,14,2024-02-28,4,510.7
226,37,62,2025-05-24,4,108.45
227,28,122,2023-10-28,4,324.44
228,12,16,2025-08-17,5,40.98
229,33,38,2023-09-05,5,644.56
230,7,159,2024-08-05,1,71.24
231,42,26,2024-08-18,2,244.52
232,31,43,2023-11-07,1,647.65
233,31,1,2025-05-31,4,702.72
234,22,2,2024-10-28,4,438.89
235,40,24,2023-10-05,2,243.54
236,50,76,2024-07-25,3,129.34
237,15,34,2025-01-22,1,635.53
238,50,24,2023-11-23,5,131.32
239,38,153,2024-06-19,5,424.3
240,39,43,2025-03-16,1,396.67
241,16,165,2024-04-24,4,659.32
242,13,104,2025-06-26,1,593.84
243,28,197,2023-09-13,2,385.82
244,32,173,2024-03-03,4,388.24
245,23,91,2025-06-27,3,519.07
246,24,187,2024-01-16,4,455.66
247,42,80,2025-08-31,1,187.93
248,26,60,2024-11-04,1,587.09
249,4,96,2024-04-04,4,102.03
250,4,62,2025-06-19,1,83.26
251,39,64,2025-04-02,5,424.09
252,26,155,2024-11-15,4,715.96
253,40,70,2025-02-03,2,216.64
254,22,180,2024-08-10,3,426.19
255,40,26,2025-07-28,2,219.57
256,7,189,2025-05-25,2,67.82
257,41,37,2024-07-06,5,98.08
258,28,52,2024-11-12,4,379.25
259,16,28,2024-12-20,2,662.4
260,10,75,2024-11-28,1,557.74
261,16,53,2024-10-28,4,596.04
262,34,163,2024-08-11,1,40.8
263,38,96,2024-09-09,1,324.89
264,42,35,2025-06-12,2,219.82
265,9,126,2024-06-04,1,447.87
266,36,138,2023-11-16,4,449.82
267,1,155,2024-07-30,3,500.08
268,17,134,2025-09-02,5,393.78
269,50,4,2025-08-08,4,112.9
270,35,106,2024-02-04,2,744.8
271,37,1,2024-09-21,3,137.15
272,9,8,2025-05-03,1,596.13
273,16,195,2024-07-12,1,517.16
274,9,147,2024-01-31,1,470.4
275,31,114,2024-08-08,4,844.24
276,43,49,2023-12-22,2,173.84
277,44,22,2025-03-08,5,304.01
278,41,58,2024-04-06,5,92.62
279,14,66,2025-04-02,1,577.88
280,5,164,2024-08-17,1,304.11
281,29,159,2025-03-05,5,850.34
282,34,97,2024-08-13,3,41.16
